127.0.0.1 - - [28/May/2018:16:22:58 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/ HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/VAADIN/vaadinBootstrap.js?v=8.4.0 HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/VAADIN/themes/mytheme/styles.css?v=8.4.0 HTTP/1.1" 200 351453
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1527504779620 HTTP/1.1" 200 2897
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/VAADIN/widgetsets/AppWidgetset/F8EFF82CCAD55F32177E3936B498A3EB.cache.js HTTP/1.1" 200 473902
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.eot? HTTP/1.1" 200 19514
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.eot? HTTP/1.1" 200 19836
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/VAADIN/themes/valo/fonts/open-sans/OpenSans-Semibold-webfont.eot? HTTP/1.1" 200 20028
0:0:0:0:0:0:0:1 - - [28/May/2018:16:22:59 +0530] "GET /DashBoard3/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 200 7194
0:0:0:0:0:0:0:1 - - [28/May/2018:16:23:02 +0530] "POST /DashBoard3/?v-1527504779625 HTTP/1.1" 200 11089
0:0:0:0:0:0:0:1 - - [28/May/2018:16:23:02 +0530] "GET /DashBoard3/VAADIN/themes/valo/fonts/fontawesome-webfont/fontawesome-webfont.eot? HTTP/1.1" 200 70807
0:0:0:0:0:0:0:1 - - [28/May/2018:16:23:03 +0530] "GET /DashBoard3/VAADIN/widgetsets/AppWidgetset/deferredjs/F8EFF82CCAD55F32177E3936B498A3EB/8.cache.js HTTP/1.1" 200 1205
